dataset,backbone,method,seed,n_users,calib20
Amazon-Movies,MF,STFR,22,21342,0.2069866603468411
Amazon-Movies,MF,TIDE,20,21342,0.2221647605759923
Amazon-Movies,MF,TIDE,21,21342,0.2231640466561965
Amazon-Movies,MF,TIDE,22,21342,0.2174731572149965
Amazon-Movies,MF,base,20,21342,0.268822845910054
Amazon-Movies,MF,base,21,21342,0.2761739599481759
Amazon-Movies,MF,base,22,21342,0.271347962842485
Amazon-Movies,LightGCN,CausalEPP,20,21342,0.3042842253231188
Amazon-Movies,LightGCN,CausalEPP,21,21342,0.3048323042736056
Amazon-Movies,LightGCN,CausalEPP,22,21342,0.3053557931117099
Amazon-Movies,LightGCN,DDC,20,21342,0.2938236004573492
Amazon-Movies,LightGCN,DDC,21,21342,0.3211896558225931
Amazon-Movies,LightGCN,DDC,22,21342,0.2954264922808507
Amazon-Movies,LightGCN,DICE,20,21342,0.188293195766222
Amazon-Movies,LightGCN,DICE,21,21342,0.1889670901312947
Amazon-Movies,LightGCN,DICE,22,21342,0.1869552022170549
Amazon-Movies,LightGCN,IPS,20,21342,0.277310798229361
Amazon-Movies,LightGCN,IPS,21,21342,0.2780862433044391
Amazon-Movies,LightGCN,IPS,22,21342,0.2776616618910518
Amazon-Movies,LightGCN,PDA,20,21342,0.345190312389817
Amazon-Movies,LightGCN,PDA,21,21342,0.3445756452539256
Amazon-Movies,LightGCN,PDA,22,21342,0.3441629509021158
Amazon-Movies,LightGCN,STFR,20,21342,0.2291136684376244
Amazon-Movies,LightGCN,STFR,21,21342,0.2284309363303988
Amazon-Movies,LightGCN,STFR,22,21342,0.2326951560399187
Amazon-Movies,LightGCN,TIDE,20,21342,0.2740573531304781
Amazon-Movies,LightGCN,TIDE,21,21342,0.2577513012483367
Amazon-Movies,LightGCN,TIDE,22,21342,0.2558983883856302
Amazon-Movies,LightGCN,base,20,21342,0.2944264501220623
Amazon-Movies,LightGCN,base,21,21342,0.2973025202464396
Amazon-Movies,LightGCN,base,22,21342,0.2976558680268696
Amazon-Movies,SimGCL,CausalEPP,20,21342,0.2482222305711692
Amazon-Movies,SimGCL,CausalEPP,21,21342,0.2485393849263641
Amazon-Movies,SimGCL,CausalEPP,22,21342,0.2491585728394636
Amazon-Movies,SimGCL,DDC,20,21342,0.2755878019122589
Amazon-Movies,SimGCL,DDC,21,21342,0.2753417575541381
Amazon-Movies,SimGCL,DDC,22,21342,0.2760237543301226
Amazon-Movies,SimGCL,DICE,20,21342,0.1879405787693252
Amazon-Movies,SimGCL,DICE,21,21342,0.1883539892620638
Amazon-Movies,SimGCL,DICE,22,21342,0.1882175717078236
Amazon-Movies,SimGCL,IPS,20,21342,0.2404316872299826
Amazon-Movies,SimGCL,IPS,21,21342,0.2428335390237072
Amazon-Movies,SimGCL,IPS,22,21342,0.2413565297538571
Amazon-Movies,SimGCL,PDA,20,21342,0.2816355614621961
Amazon-Movies,SimGCL,PDA,21,21342,0.2808046469004993
Amazon-Movies,SimGCL,PDA,22,21342,0.2803737196358669
Amazon-Movies,SimGCL,STFR,20,21342,0.2239571701308208
Amazon-Movies,SimGCL,STFR,21,21342,0.2233263498619679
Amazon-Movies,SimGCL,STFR,22,21342,0.2224206556579117
Amazon-Movies,SimGCL,TIDE,20,21342,0.2535218998124286
Amazon-Movies,SimGCL,TIDE,21,21342,0.2499912645839266
Amazon-Movies,SimGCL,TIDE,22,21342,0.2513079490474526
Amazon-Movies,SimGCL,base,20,21342,0.2484271020511973
Amazon-Movies,SimGCL,base,21,21342,0.248648397321448
Amazon-Movies,SimGCL,base,22,21342,0.2488445284811428
Douban-movie,MF,CausalEPP,20,10947,0.2761189480171428
Douban-movie,MF,CausalEPP,21,10947,0.2873796740067436
Douban-movie,MF,CausalEPP,22,10947,0.2792634081980691
Douban-movie,MF,DDC,20,10947,0.2775850584317361
Douban-movie,MF,DDC,21,10947,0.2815121994103714
Douban-movie,MF,DDC,22,10947,0.2862983042906897
Douban-movie,MF,DICE,20,10947,0.1884871190077881
Douban-movie,MF,DICE,21,10947,0.200101738689058
Douban-movie,MF,DICE,22,10947,0.1889071937251625
Douban-movie,MF,IPS,20,10947,0.2361569371074945
Douban-movie,MF,IPS,21,10947,0.2806848511406126
Douban-movie,MF,IPS,22,10947,0.2607057212233432
Douban-movie,MF,PDA,20,10947,0.2306666655937632
Douban-movie,MF,PDA,21,10947,0.2283297488266621
Douban-movie,MF,PDA,22,10947,0.2282847724962199
Douban-movie,MF,STFR,20,10947,0.2026736950711766
Douban-movie,MF,STFR,21,10947,0.2060526738403784
Douban-movie,MF,STFR,22,10947,0.2055467667876049
Douban-movie,MF,TIDE,20,10947,0.2033304445117104
Douban-movie,MF,TIDE,21,10947,0.2082717617619759
Douban-movie,MF,TIDE,22,10947,0.2049955409052556
Douban-movie,MF,base,20,10947,0.276606884104357
Douban-movie,MF,base,21,10947,0.2784539158950539
Douban-movie,MF,base,22,10947,0.2838214803465894
Douban-movie,LightGCN,CausalEPP,20,10947,0.3899434691622839
Douban-movie,LightGCN,CausalEPP,21,10947,0.3902211018709004
Douban-movie,LightGCN,CausalEPP,22,10947,0.3901969650229968
Douban-movie,LightGCN,DDC,20,10947,0.3837805201629731
Douban-movie,LightGCN,DDC,21,10947,0.383825485696021
Douban-movie,LightGCN,DDC,22,10947,0.3855520251667065
Douban-movie,LightGCN,DICE,20,10947,0.1890856275452502
Douban-movie,LightGCN,DICE,21,10947,0.189637881228834
Douban-movie,LightGCN,DICE,22,10947,0.2162888724634697
Douban-movie,LightGCN,IPS,20,10947,0.3331250435916307
Douban-movie,LightGCN,IPS,21,10947,0.2856013732946125
Douban-movie,LightGCN,IPS,22,10947,0.2642153777273094
Douban-movie,LightGCN,PDA,20,10947,0.3718924392210454
Douban-movie,LightGCN,PDA,21,10947,0.3711760770952789
Douban-movie,LightGCN,PDA,22,10947,0.3714837752564622
Douban-movie,LightGCN,STFR,20,10947,0.1940326581788327
Douban-movie,LightGCN,STFR,21,10947,0.1995481650268613
Douban-movie,LightGCN,STFR,22,10947,0.1960335401886561
Douban-movie,LightGCN,TIDE,20,10947,0.3102870915189534
Douban-movie,LightGCN,TIDE,21,10947,0.2932808192487529
Douban-movie,LightGCN,TIDE,22,10947,0.3122633253094213
Douban-movie,LightGCN,base,20,10947,0.3878182230174095
Douban-movie,LightGCN,base,21,10947,0.3878446924481616
Douban-movie,LightGCN,base,22,10947,0.3874991227493025
