dataset,backbone,k,coverage_base,coverage_PDA,coverage_TIDE,coverage_STFR,coverage_sd_base,coverage_sd_PDA,coverage_sd_TIDE,coverage_sd_STFR,gini_base,gini_PDA,gini_TIDE,gini_STFR,gini_sd_base,gini_sd_PDA,gini_sd_TIDE,gini_sd_STFR
Amazon-VG,MF,20,0.3688772993163718,0.0757629149341038,0.3239128902671083,0.2577348650362957,0.0671122889582583,0.0019590444935644,0.0606436764867028,0.0195726042672692,0.9026966517662476,0.9847740499988576,0.9121343660968316,0.9566823440353291,0.0275254147922684,0.0003298733699959,0.0233310398280726,0.0037198180480904
Amazon-VG,LightGCN,20,0.1538280827871355,0.0200859820988089,0.0652853149153099,0.1419879249183639,0.0014389919732293,0.000402810350729,0.0016289553713778,0.0051111983474418,0.9683739298613256,0.994047200920092,0.9868646683251088,0.966358456798186,9.454600087775976e-05,0.0001864026324018,0.0001606131368838,0.0021480239135531
Amazon-VG,SimGCL,20,0.2216035896351633,0.0937815678812225,0.0040641811732092,0.133131298893509,0.001440142093546,0.000990587480551,0.0002952945965178,0.0009577286212624,0.939200862901202,0.9765039362143814,0.9985301458913372,0.9794409669443872,0.0007812626876447,0.0001573173301784,1.6010692195221586e-05,7.322500087283198e-05
Amazon-Movies,MF,20,0.2501612687284721,0.017009286644515,0.2609023746059566,0.1908569759374886,0.001360130966731,0.0010762074738576,0.0188730392290242,0.0014097620268078,0.9764824367304384,0.9993490539329556,0.9708775804147124,0.9796115373224016,0.0004884941492511,6.030488992280435e-05,0.0041582965947857,0.000105708593267
Amazon-Movies,LightGCN,20,0.1040944000194739,0.0099012913669502,0.0269166636238604,0.0753459670646657,0.0008402553812194,0.0004901846512482,0.0024572162561773,0.0004429556696018,0.9910571889924348,0.9990926137773216,0.9983915289023684,0.9905162139220264,0.0001274891453459,1.6192978806188292e-05,0.0003529857911436,0.0001032769799372
Amazon-Movies,SimGCL,20,0.1075936271466997,0.0376699407261352,0.0790764474629081,0.0741105877484451,0.0001551532817758,0.0004819559127377,0.0003989674761281,0.0002705189904077,0.9839664098501736,0.9946372962523028,0.9861919397461616,0.9951678042804,3.2656625892112657e-06,6.370827377345346e-05,0.0002638119104449,0.0002312163012835
Douban-movie,MF,20,0.352273212379936,0.1171824973319103,0.1545926716471006,0.1321380291711134,0.0102920203937119,0.0108991624310214,0.0146467415435664,0.0029513054339513,0.9447330986460848,0.9925657866366056,0.9921282409274634,0.9898206995011084,0.0032485766105327,0.0009774519345373,0.0009376215633716,0.0002662031559003
Douban-movie,LightGCN,20,0.0204909284951974,0.0089078619708288,0.0066880113838491,0.0170615439345428,0.0002631553469783,0.0005514855176115,0.0008888792706789,0.0002838838469336,0.997781861228011,0.9985505583205676,0.9987985796316178,0.9982821826726536,1.670358233136523e-05,7.592534331967904e-06,2.956934224397631e-05,1.3319918635213164e-05
