dataset,n_users,rho_persistence,stale_recall@20,stale_ndcg@20,fresh_recall@20,fresh_ndcg@20,fresh_over_stale_recall@20,base_MF_recall@20,base_LightGCN_recall@20
Amazon-VG,2555,0.2539191741884863,0.0141522766892254,0.0060752850861927,0.0783694902618581,0.0371634218551356,5.537588897023426,0.0530333333333333,0.0681533333333333
Amazon-Movies,21342,0.4177357910507084,0.0270541400808272,0.0122537972664217,0.0623331397778091,0.0248633550091338,2.3040148232980995,0.03562,0.0504166666666666
Douban-movie,10947,0.5816898440494698,0.0167331356408854,0.0172248692121117,0.0760099845267913,0.0580196573359583,4.542483020401141,0.0328199999999999,0.0222099999999999
