dataset,backbone,method,seed,k,catalog_size,n_users,coverage,gini,nalrp,recall
Amazon-Movies,SimGCL,IPS,22,20,54774,21342,0.1839924051557308,0.9750152874278876,0.7569912152401667,0.0501769648316788
Amazon-Movies,SimGCL,PDA,20,20,54774,21342,0.0369883521378756,0.9947267139499416,0.811965417302981,0.0762439065812173
Amazon-Movies,SimGCL,PDA,21,20,54774,21342,0.038010735020265,0.994602151541316,0.8111015510907564,0.076049419431504
Amazon-Movies,SimGCL,PDA,22,20,54774,21342,0.038010735020265,0.9945830232656504,0.8104445234803384,0.0763513747421024
Amazon-Movies,SimGCL,STFR,20,20,54774,21342,0.0739767042757512,0.9950555236766644,0.7390466101784171,0.0807884886272263
Amazon-Movies,SimGCL,STFR,21,20,54774,21342,0.074487895716946,0.9949579816779234,0.7380894028088479,0.0755839662937502
Amazon-Movies,SimGCL,STFR,22,20,54774,21342,0.0738671632526381,0.9954899074866128,0.7368072627466308,0.0757639751149969
Amazon-Movies,SimGCL,TIDE,20,20,54774,21342,0.0795998101288932,0.9865496669958714,0.776906468479525,0.0596833899494724
Amazon-Movies,SimGCL,TIDE,21,20,54774,21342,0.0789973345017709,0.985921323752126,0.7727846926313989,0.0581367941709814
Amazon-Movies,SimGCL,TIDE,22,20,54774,21342,0.0786321977580604,0.986104828490488,0.774241289413176,0.0595266428091843
Amazon-Movies,SimGCL,base,20,20,54774,21342,0.107532771022748,0.9839618569897376,0.7699965437490575,0.0570322657300627
Amazon-Movies,SimGCL,base,21,20,54774,21342,0.1078066235805309,0.9839693574171932,0.7703287649242787,0.0572574453358208
Amazon-Movies,SimGCL,base,22,20,54774,21342,0.1074414868368204,0.9839680151435904,0.7703106094500073,0.0584025877634378
Amazon-VG,LightGCN,CausalEPP,20,20,14189,2555,0.0893650010571569,0.9788367991025267,0.7971872203787366,0.0652409347938719
Amazon-VG,LightGCN,CausalEPP,21,20,14189,2555,0.0987384593699344,0.9769879895109066,0.7934432763792029,0.0660527000190679
Amazon-VG,LightGCN,CausalEPP,22,20,14189,2555,0.0970470082458242,0.9773246660714958,0.7944306968586091,0.0678971600988767
Amazon-VG,LightGCN,DDC,20,20,14189,2555,0.1708365635351328,0.9639561447437508,0.7596420109723309,0.0626614305270672
Amazon-VG,LightGCN,DDC,21,20,14189,2555,0.1669603213757136,0.9653236824259138,0.7647938216726963,0.0662939854957021
Amazon-VG,LightGCN,DDC,22,20,14189,2555,0.1573754316724223,0.9684158685809782,0.7717313589241335,0.0653957516527777
Amazon-VG,LightGCN,DICE,20,20,14189,2555,0.2893790964831912,0.8799973078012114,0.611654308219118,0.056198456604962
Amazon-VG,LightGCN,DICE,21,20,14189,2555,0.1638593276481781,0.9414358108504164,0.673409014504988,0.06114133669554
Amazon-VG,LightGCN,DICE,22,20,14189,2555,0.1623088307844104,0.9423832551855514,0.6711379534182328,0.0605771569603577
Amazon-VG,LightGCN,IPS,20,20,14189,2555,0.358587638311368,0.9028688246828288,0.6915841644833621,0.0688410160451956
Amazon-VG,LightGCN,IPS,21,20,14189,2555,0.3893861441962083,0.8878853040564071,0.6780771591884349,0.0613632410997223
Amazon-VG,LightGCN,IPS,22,20,14189,2555,0.2193248290929593,0.9514709349418852,0.7449735818349995,0.0602925664461076
Amazon-VG,LightGCN,PDA,20,20,14189,2555,0.0200859820988089,0.9943107522861278,0.8279311603800756,0.0807060021835577
Amazon-VG,LightGCN,PDA,21,20,14189,2555,0.0195926421876101,0.993910483562761,0.8265249228729895,0.0844113249104069
Amazon-VG,LightGCN,PDA,22,20,14189,2555,0.0205793220100077,0.9939203669113872,0.8263955055280053,0.079935517812754
Amazon-VG,LightGCN,STFR,20,20,14189,2555,0.1365846782719007,0.9678739256547648,0.6074634055487405,0.1268150556139625
Amazon-VG,LightGCN,STFR,21,20,14189,2555,0.1405313975614913,0.9678807499373498,0.6067055846788669,0.118066468092611
Amazon-VG,LightGCN,STFR,22,20,14189,2555,0.1488476989216999,0.9633206948024426,0.6432464645305653,0.1200341646197642
Amazon-VG,LightGCN,TIDE,20,20,14189,2555,0.0675875678342377,0.9870909040505592,0.7340268656476583,0.0944700997032156
Amazon-VG,LightGCN,TIDE,21,20,14189,2555,0.0640637113256748,0.9867690980265162,0.7667580448716291,0.0869473653787841
Amazon-VG,LightGCN,TIDE,22,20,14189,2555,0.0642046655860173,0.9867340028982512,0.7644507493396475,0.0874002327069218
Amazon-VG,LightGCN,base,20,20,14189,2555,0.1556135034181408,0.9682561792651316,0.7718741820258107,0.0685188014494808
Amazon-VG,LightGCN,base,21,20,14189,2555,0.1520896469095778,0.9683779460923052,0.7725407134658213,0.0677616886992174
Amazon-VG,LightGCN,base,22,20,14189,2555,0.153781098033688,0.9684876642265396,0.7722431402004881,0.0681823152568303
Amazon-VG,MF,CausalEPP,20,20,14189,2555,0.1286912396927197,0.9644370608195566,0.7397999110475945,0.067091056028303
Amazon-VG,MF,CausalEPP,21,20,14189,2555,0.1503277186552963,0.9565273063020208,0.7281800480747949,0.0694596418375262
Amazon-VG,MF,CausalEPP,22,20,14189,2555,0.1067023750792867,0.9719931994396586,0.7535014392166135,0.0751817609191235
Amazon-VG,MF,DDC,20,20,14189,2555,0.3895975755867221,0.9017202074482604,0.6988658624451037,0.0521157634082388
Amazon-VG,MF,DDC,21,20,14189,2555,0.2923391359503841,0.9358255113143378,0.7316009445594512,0.0542751277669875
Amazon-VG,MF,DDC,22,20,14189,2555,0.4652900133906547,0.867845447929055,0.6724016209727737,0.0560268463289278
Amazon-VG,MF,DICE,20,20,14189,2555,0.4957361336246388,0.7851246610787911,0.5765549527795314,0.047679940622598
Amazon-VG,MF,DICE,21,20,14189,2555,0.3344844597927972,0.8525094147653587,0.5998091411419584,0.0489096275079652
Amazon-VG,MF,DICE,22,20,14189,2555,0.4686729156388752,0.7994335569614509,0.5844967805268327,0.0481905713552997
Amazon-VG,MF,IPS,20,20,14189,2555,0.3952357460004229,0.8962877916370541,0.6957338282401027,0.0483173114908341
Amazon-VG,MF,IPS,21,20,14189,2555,0.4056663612657692,0.8915170995309478,0.6918316120377498,0.0533887318935965
Amazon-VG,MF,IPS,22,20,14189,2555,0.4962999506660089,0.8450252041940375,0.6541761481551164,0.0540040354511187
Amazon-VG,MF,PDA,20,20,14189,2555,0.0736486010289661,0.985192738400616,0.6952328363849002,0.1071677447354045
Amazon-VG,MF,PDA,21,20,14189,2555,0.075269575022905,0.984742890188494,0.7013444765600877,0.0986455101526412
Amazon-VG,MF,PDA,22,20,14189,2555,0.0783705687504404,0.9843865214074627,0.6852667393303747,0.108587894155133
Amazon-VG,MF,STFR,20,20,14189,2555,0.273028402283459,0.9546518064281488,0.6018319099358279,0.1105287914371903
Amazon-VG,MF,STFR,21,20,14189,2555,0.2700683628162661,0.953494845032376,0.6103937964993977,0.1068381555670758
Amazon-VG,MF,STFR,22,20,14189,2555,0.230107830009162,0.9619003806454628,0.5725183305141508,0.1133424849946633
Amazon-VG,MF,TIDE,20,20,14189,2555,0.4087673549933047,0.8792927378627279,0.6430829137523187,0.0733231806799596
Amazon-VG,MF,TIDE,21,20,14189,2555,0.2707026569878074,0.9313077645247366,0.6806680013790517,0.0790975234741992
Amazon-VG,MF,TIDE,22,20,14189,2555,0.2922686588202128,0.9258025959030306,0.6726500497281642,0.080171003592689
Amazon-VG,MF,base,20,20,14189,2555,0.3747973782507576,0.9027204999766224,0.6987775906819895,0.0488580573290359
Amazon-VG,MF,base,21,20,14189,2555,0.2838818803298329,0.9363963319343186,0.7322551503561051,0.0558919247556045
Amazon-VG,MF,base,22,20,14189,2555,0.4479526393685249,0.8689731233878012,0.6713282632927056,0.0543492361874786
Amazon-VG,SimGCL,CausalEPP,20,20,14189,2555,0.2044541546268236,0.9405813411590992,0.7221534341370465,0.0734007946529314
Amazon-VG,SimGCL,CausalEPP,21,20,14189,2555,0.1985340756924378,0.9421354267017849,0.7242990556593797,0.0759181071775567
Amazon-VG,SimGCL,CausalEPP,22,20,14189,2555,0.2072732398336739,0.93978318972871,0.7208003622705772,0.0754864343882776
Amazon-VG,SimGCL,DDC,20,20,14189,2555,0.2177743322291916,0.9463522209743526,0.7406437606078565,0.0689907403331814
Amazon-VG,SimGCL,DDC,21,20,14189,2555,0.215166678412855,0.946629489865568,0.7400338855342299,0.06981596520434
Amazon-VG,SimGCL,DDC,22,20,14189,2555,0.2238353654239199,0.9446719937814622,0.7374685248003606,0.0717812555130745
Amazon-VG,SimGCL,DICE,20,20,14189,2555,0.2951582211572345,0.8724614710080395,0.6087471695515259,0.0646261101475604
Amazon-VG,SimGCL,DICE,21,20,14189,2555,0.293678201423638,0.8738888383948371,0.6079195279693183,0.0610740684732095
Amazon-VG,SimGCL,DICE,22,20,14189,2555,0.3709211360913383,0.845917163305165,0.6097103699454631,0.0619121644015037
Amazon-VG,SimGCL,IPS,20,20,14189,2555,0.3564733244062302,0.8958409831821706,0.681849447347102,0.0696313318912964
Amazon-VG,SimGCL,IPS,21,20,14189,2555,0.2770455987032208,0.925315098283875,0.7079630810508124,0.0693192327397184
Amazon-VG,SimGCL,IPS,22,20,14189,2555,0.2229896398618648,0.9413056722780346,0.7227804894293043,0.0647014522175405
Amazon-VG,SimGCL,PDA,20,20,14189,2555,0.0942984001691451,0.9763497728939992,0.7452015776307548,0.1001560234883861
Amazon-VG,SimGCL,PDA,21,20,14189,2555,0.0923955176545211,0.9767199364354212,0.746008273477881,0.1090307380323766
Amazon-VG,SimGCL,PDA,22,20,14189,2555,0.0946507858200014,0.9764420993137236,0.7447572697029993,0.1063072828042592
Amazon-VG,SimGCL,STFR,20,20,14189,2555,0.1326379589823102,0.9795394464359328,0.691763970096273,0.1124923157826466
