dataset,mu_train,n_train_interactions,catalog_size,training_active_items,base_MF_nalrp@20,delta_MF,base_LightGCN_nalrp@20,delta_LightGCN,base_SimGCL_nalrp@20,delta_SimGCL
Amazon-VG,0.5648748645874371,247969,17286,14189,0.70079,0.1359151354125629,0.7722166666666667,0.2073418020792296,0.72106,0.1561851354125629
Amazon-Movies,0.5695602925310113,1761038,59925,54774,0.78907,0.2195097074689888,0.8221433333333333,0.2525830408023221,0.7702133333333334,0.2006530408023221
Douban-movie,0.7042966139130138,4848034,26813,23425,0.7996966666666667,0.0954000527536529,0.91294,0.2086433860869861,,
