dataset,backbone,STFR,PDA,TIDE,base
Amazon-VG,MF,0.1634893165688298,0.2172665363886242,0.2073879431549979,0.2348688991677966
Amazon-VG,LightGCN,0.1771000570251471,0.3298824955869853,0.2668808905831344,0.285956899435751
Amazon-VG,SimGCL,0.2141413530788319,0.2562471329408911,0.2341129212105474,0.2386981503218923
Amazon-Movies,MF,0.208223963424603,0.2374512970833557,0.2209339881490618,0.2721149229002383
Amazon-Movies,LightGCN,0.230079920269314,0.3446429695152861,0.262569014254815,0.2964616127984572
Amazon-Movies,SimGCL,0.2232347252169001,0.2809379759995208,0.2516070378146026,0.2486400092845961
Douban-movie,MF,0.20475771189972,0.2290937289722151,0.2055325823929806,0.2796274267820001
Douban-movie,LightGCN,0.19653812113145,0.3715174305242621,0.3052770786923759,0.3877206794049579
