dataset,backbone,method,k,n_seeds,catalog_size,coverage,coverage_sd,gini,gini_sd,nalrp,recall
Amazon-Movies,SimGCL,PDA,20,3,54774,0.0376699407261352,0.0004819559127377,0.9946372962523028,6.370827377345346e-05,0.8111704972913586,0.0762149002516079
Amazon-Movies,SimGCL,STFR,20,3,54774,0.0741105877484451,0.0002705189904077,0.9951678042804,0.0002312163012835,0.7379810919112986,0.0773788100119911
Amazon-Movies,SimGCL,TIDE,20,3,54774,0.0790764474629081,0.0003989674761281,0.9861919397461616,0.0002638119104449,0.7746441501747,0.059115608976546
Amazon-Movies,SimGCL,base,20,3,54774,0.1075936271466997,0.0001551532817758,0.9839664098501736,3.2656625892112657e-06,0.7702119727077812,0.0575640996097738
Amazon-VG,LightGCN,CausalEPP,20,3,14189,0.0950501562243052,0.004078888221254,0.9777164848949764,0.0008040172963902,0.7950203978721828,0.0663969316372722
Amazon-VG,LightGCN,DDC,20,3,14189,0.1650574388610896,0.0056578110699378,0.9658985652502142,0.0018655029477936,0.7653890638563868,0.0647837225585157
Amazon-VG,LightGCN,DICE,20,3,14189,0.2051824183052599,0.0595394069631183,0.921272124612393,0.0291882657905478,0.6520670920474463,0.0593056500869532
Amazon-VG,LightGCN,IPS,20,3,14189,0.3224328705335119,0.0739846297031334,0.9140750212270404,0.0271412016992209,0.7048783018355987,0.0634989411970085
Amazon-VG,LightGCN,PDA,20,3,14189,0.0200859820988089,0.000402810350729,0.994047200920092,0.0001864026324018,0.8269505295936902,0.0816842816355729
Amazon-VG,LightGCN,STFR,20,3,14189,0.1419879249183639,0.0051111983474418,0.966358456798186,0.0021480239135531,0.6191384849193909,0.1216385627754459
Amazon-VG,LightGCN,TIDE,20,3,14189,0.0652853149153099,0.0016289553713778,0.9868646683251088,0.0001606131368838,0.7550785532863117,0.0896058992629738
Amazon-VG,LightGCN,base,20,3,14189,0.1538280827871355,0.0014389919732293,0.9683739298613256,9.454600087775976e-05,0.7722193452307068,0.0681542684685095
Amazon-VG,MF,CausalEPP,20,3,14189,0.1285737778091009,0.0178101656084719,0.9643191888537452,0.0063144745353539,0.7404937994463343,0.0705774862616509
Amazon-VG,MF,DDC,20,3,14189,0.3824089083092536,0.0707896376821706,0.9017970555638845,0.0277527978612538,0.7009561426591095,0.054139245834718
Amazon-VG,MF,DICE,20,3,14189,0.4329645030187704,0.0705069435222678,0.8123558776018669,0.0289875379591545,0.5869536248161075,0.0482600464952876
Amazon-VG,MF,IPS,20,3,14189,0.4324006859774003,0.0453838183681662,0.8776100317873464,0.0231231214409166,0.6805805294776563,0.0519033596118498
Amazon-VG,MF,PDA,20,3,14189,0.0757629149341038,0.0019590444935644,0.9847740499988576,0.0003298733699959,0.6939480174251208,0.1048003830143929
Amazon-VG,MF,STFR,20,3,14189,0.2577348650362957,0.0195726042672692,0.9566823440353291,0.0037198180480904,0.5949146789831254,0.1102364773329765
Amazon-VG,MF,TIDE,20,3,14189,0.3239128902671083,0.0606436764867028,0.9121343660968316,0.0233310398280726,0.6654669882865115,0.0775305692489493
Amazon-VG,MF,base,20,3,14189,0.3688772993163718,0.0671122889582583,0.9026966517662476,0.0275254147922684,0.7007870014436001,0.053033072757373
Amazon-VG,SimGCL,CausalEPP,20,3,14189,0.2034204900509784,0.00364184882657,0.9408333191965312,0.0009766863682493,0.7224176173556677,0.0749351120729219
Amazon-VG,SimGCL,DDC,20,3,14189,0.2189254586886555,0.0036313773987482,0.9458845682071276,0.0008648591649674,0.7393820569808156,0.0701959870168653
Amazon-VG,SimGCL,DICE,20,3,14189,0.3199191862240703,0.0360688857817043,0.8640891575693472,0.012862746623935,0.6087923558221023,0.0625374476740912
Amazon-VG,SimGCL,IPS,20,3,14189,0.2855028543237719,0.0548216343509167,0.9208205845813602,0.0188310024288399,0.704197672609073,0.0678840056161851
Amazon-VG,SimGCL,PDA,20,3,14189,0.0937815678812225,0.000990587480551,0.9765039362143814,0.0001573173301784,0.7453223736038783,0.105164681441674
Amazon-VG,SimGCL,STFR,20,3,14189,0.133131298893509,0.0009577286212624,0.9794409669443872,7.322500087283198e-05,0.6911120514263346,0.1133732244411328
Amazon-VG,SimGCL,TIDE,20,3,14189,0.0040641811732092,0.0002952945965178,0.9985301458913372,1.6010692195221586e-05,0.719046378858438,0.0846819595738639
Amazon-VG,SimGCL,base,20,3,14189,0.2216035896351633,0.001440142093546,0.939200862901202,0.0007812626876447,0.7210596732286052,0.0748067778847463
Douban-movie,LightGCN,CausalEPP,20,3,23425,0.0104446816079686,0.0004549090676099,0.9983507353450376,2.0319294685464164e-05,0.9175197915665212,0.032135330374889
Douban-movie,LightGCN,DDC,20,3,23425,0.0275631447883315,0.0007796586286333,0.9974166083425732,7.81586990756776e-05,0.9132809189161842,0.0223107241826644
Douban-movie,LightGCN,DICE,20,3,23425,0.2984133760227677,0.0729409280915405,0.9091341501444417,0.0229703439509156,0.693726764094783,0.0278360866346151
Douban-movie,LightGCN,IPS,20,3,23425,0.3170828886517253,0.1473287375579691,0.9531954718150356,0.0264999110216178,0.812257493315487,0.0331790909390728
Douban-movie,LightGCN,PDA,20,3,23425,0.0089078619708288,0.0005514855176115,0.9985505583205676,7.592534331967904e-06,0.8999898850197724,0.0568698916443025
Douban-movie,LightGCN,STFR,20,3,23425,0.0170615439345428,0.0002838838469336,0.9982821826726536,1.3319918635213164e-05,0.6987628391875028,0.1200023422568069
Douban-movie,LightGCN,TIDE,20,3,23425,0.0066880113838491,0.0008888792706789,0.9987985796316178,2.956934224397631e-05,0.8325608647843691,0.0786277273301076
Douban-movie,LightGCN,base,20,3,23425,0.0204909284951974,0.0002631553469783,0.997781861228011,1.670358233136523e-05,0.9129430054337396,0.0222100586920854
Douban-movie,MF,CausalEPP,20,3,23425,0.3177090003557453,0.0184193682836286,0.9496400781268256,0.0048749851550607,0.8018824696884025,0.0317954724321062
Douban-movie,MF,DDC,20,3,23425,0.3815439345428673,0.0089474402141146,0.9418580617578628,0.0032737768694781,0.797383581393023,0.0329274371324233
Douban-movie,MF,DICE,20,3,23425,0.2467591604411241,0.0281609083204981,0.920276209778514,0.0100193125207113,0.6870822002630977,0.0239921284792077
Douban-movie,MF,IPS,20,3,23425,0.4969050160085379,0.0800866152447231,0.913931127621566,0.0270775905153828,0.7706577948418275,0.0297501662307449
Douban-movie,MF,PDA,20,3,23425,0.1171824973319103,0.0108991624310214,0.9925657866366056,0.0009774519345373,0.7420274905719256,0.1051820394867902
Douban-movie,MF,STFR,20,3,23425,0.1321380291711134,0.0029513054339513,0.9898206995011084,0.0002662031559003,0.7084907258277351,0.108994524525744
Douban-movie,MF,TIDE,20,3,23425,0.1545926716471006,0.0146467415435664,0.9921282409274634,0.0009376215633716,0.7098940494564777,0.1143753574978593
Douban-movie,MF,base,20,3,23425,0.352273212379936,0.0102920203937119,0.9447330986460848,0.0032485766105327,0.7996988282685512,0.0328222431566868
