L_days,backbone,method,seed,recall20,ndcg20,nalrp20,f,alpha,simgcl_lambda,log
30,SimGCL,base,21,0.09649,0.04365,0.72674,,,0.1,log/runs/v3_Amazon-VG_b30_SimGCL_base_s21_test_k20.log
30,SimGCL,base,22,0.0973,0.04282,0.7217,,,0.1,log/runs/v3_Amazon-VG_b30_SimGCL_base_s22_test_k20.log
120,LightGCN,STFR,20,0.09711,0.04651,0.63774,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b120_LightGCN_SFDmmNoB_f0.7a1.0_s20_test_k20.log
120,LightGCN,STFR,21,0.09632,0.04579,0.62709,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b120_LightGCN_SFDmmNoB_f0.7a1.0_s21_test_k20.log
120,LightGCN,STFR,22,0.09374,0.04438,0.61122,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b120_LightGCN_SFDmmNoB_f0.7a1.0_s22_test_k20.log
120,LightGCN,base,20,0.06173,0.02899,0.77149,,,,log/runs/v3_Amazon-VG_b120_LightGCN_base_s20_test_k20.log
120,LightGCN,base,21,0.06117,0.02953,0.7719,,,,log/runs/v3_Amazon-VG_b120_LightGCN_base_s21_test_k20.log
120,LightGCN,base,22,0.06016,0.02855,0.77167,,,,log/runs/v3_Amazon-VG_b120_LightGCN_base_s22_test_k20.log
120,MF,STFR,20,0.0699,0.03256,0.66241,0.5,1.0,,log/runs/v3nob_final_Amazon-VG_b120_MF_SFDmmNoB_f0.5a1.0_s20_test_k20.log
120,MF,STFR,21,0.07712,0.03424,0.66176,0.5,1.0,,log/runs/v3nob_final_Amazon-VG_b120_MF_SFDmmNoB_f0.5a1.0_s21_test_k20.log
120,MF,STFR,22,0.0734,0.03473,0.64019,0.5,1.0,,log/runs/v3nob_final_Amazon-VG_b120_MF_SFDmmNoB_f0.5a1.0_s22_test_k20.log
120,MF,base,20,0.04587,0.02336,0.73293,,,,log/runs/v3_Amazon-VG_b120_MF_base_s20_test_k20.log
120,MF,base,21,0.05452,0.02557,0.73363,,,,log/runs/v3_Amazon-VG_b120_MF_base_s21_test_k20.log
120,MF,base,22,0.05307,0.02645,0.65154,,,,log/runs/v3_Amazon-VG_b120_MF_base_s22_test_k20.log
120,SimGCL,STFR,20,0.08462,0.04045,0.63007,0.9,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b120_SimGCL_SFDmmNoB_f0.9a1.0_s20_test_k20.log
120,SimGCL,STFR,21,0.08981,0.04264,0.64436,0.9,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b120_SimGCL_SFDmmNoB_f0.9a1.0_s21_test_k20.log
120,SimGCL,STFR,22,0.08464,0.04038,0.62573,0.9,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b120_SimGCL_SFDmmNoB_f0.9a1.0_s22_test_k20.log
120,SimGCL,base,20,0.06792,0.03203,0.73431,,,0.05,log/runs/v3_Amazon-VG_b120_SimGCL_base_s20_test_k20.log
120,SimGCL,base,21,0.06596,0.03211,0.73286,,,0.05,log/runs/v3_Amazon-VG_b120_SimGCL_base_s21_test_k20.log
120,SimGCL,base,22,0.06667,0.03193,0.72962,,,0.05,log/runs/v3_Amazon-VG_b120_SimGCL_base_s22_test_k20.log
