dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-Movies,MF,CausalEPP,20,0.04328,0.0214,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s20_test_k20_train.log
Amazon-Movies,MF,CausalEPP,21,0.0436,0.02122,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s21_test_k20_train.log
Amazon-Movies,MF,CausalEPP,22,0.04465,0.02196,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s22_test_k20_train.log
Amazon-Movies,MF,STFR,20,0.08395,0.04006,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s20_test_k20.log
Amazon-Movies,MF,STFR,21,0.08238,0.04083,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s21_test_k20.log
Amazon-Movies,MF,STFR,22,0.08484,0.04133,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s22_test_k20.log
Douban-movie,MF,base,20,0.033,0.02609,log/runs/v3_Douban-movie_MF_base_s20_test_k20_train.log
Douban-movie,MF,base,21,0.0338,0.02626,log/runs/v3_Douban-movie_MF_base_s21_test_k20_train.log
Douban-movie,MF,base,22,0.03166,0.02614,log/runs/v3_Douban-movie_MF_base_s22_test_k20_train.log
Douban-movie,MF,IPS,20,0.02953,0.0233,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s20_test_k20_train.log
Douban-movie,MF,IPS,21,0.02855,0.02452,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s21_test_k20_train.log
Douban-movie,MF,IPS,22,0.03117,0.02542,log/runs/v3_Douban-movie_MF_final_IPS_IPS_l10_s22_test_k20_train.log
Douban-movie,MF,DICE,20,0.02461,0.01937,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s20_test_k20_train.log
Douban-movie,MF,DICE,21,0.02502,0.01951,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s21_test_k20_train.log
Douban-movie,MF,DICE,22,0.02235,0.0179,log/runs/v3_Douban-movie_MF_final_DICE_DICE_a0.2_s22_test_k20_train.log
Douban-movie,MF,DDC,20,0.03242,0.02581,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s20_test_k20_train.log
Douban-movie,MF,DDC,21,0.03418,0.02651,log/runs/v3_Douban-movie_MF_final_DDC_DDC_k0.7_s21_test_k20_train.log
