dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-Movies,SimGCL,DDC,21,0.05059,0.0245,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-Movies,SimGCL,DDC,22,0.05185,0.02478,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-Movies,SimGCL,PDA,20,0.07624,0.03668,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-Movies,SimGCL,PDA,21,0.07605,0.03668,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-Movies,SimGCL,PDA,22,0.07635,0.03693,log/runs/v3_Amazon-Movies_SimGCL_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-Movies,SimGCL,TIDE,20,0.05968,0.02873,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-Movies,SimGCL,TIDE,21,0.05814,0.02816,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-Movies,SimGCL,TIDE,22,0.05953,0.02858,log/runs/v3_Amazon-Movies_SimGCL_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,20,0.05748,0.02795,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s20_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,21,0.05714,0.02763,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s21_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,22,0.05862,0.02816,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s22_test_k20_train.log
Amazon-Movies,SimGCL,STFR,20,0.08079,0.03827,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s20_test_k20.log
Amazon-Movies,SimGCL,STFR,21,0.07558,0.03536,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s21_test_k20.log
Amazon-Movies,SimGCL,STFR,22,0.07576,0.03619,log/runs/v3nob_final_Amazon-Movies_SimGCL_SFDmmNoB_f0.5a0.5_s22_test_k20.log
