backbone,variant,seed,recall20,ndcg20,nalrp20,setting,log
LightGCN,STFR,22,0.12003,0.06171,0.64325,"NO_STALE=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s22_test_k20.log
SimGCL,base,20,0.07281,0.03513,0.72152,backbone only,log/runs/v3_Amazon-VG_SimGCL_base_s20_test_k20_train.log
SimGCL,base,21,0.07623,0.03735,0.72239,backbone only,log/runs/v3_Amazon-VG_SimGCL_base_s21_test_k20_train.log
SimGCL,base,22,0.07538,0.03585,0.71927,backbone only,log/runs/v3_Amazon-VG_SimGCL_base_s22_test_k20_train.log
SimGCL,SSNS only,20,0.07439,0.03607,0.71154,"NO_STALE=1 NO_FRESH=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nobABL_Amazon-VG_SimGCL_Negonly_s20_test_k20.log
SimGCL,SSNS only,21,0.07984,0.03844,0.71526,"NO_STALE=1 NO_FRESH=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nobABL_Amazon-VG_SimGCL_Negonly_s21_test_k20.log
SimGCL,SSNS only,22,0.07559,0.03609,0.7139,"NO_STALE=1 NO_FRESH=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nobABL_Amazon-VG_SimGCL_Negonly_s22_test_k20.log
SimGCL,Fresh channel only,20,0.10199,0.04891,0.7349,NO_STALE=1 NEG_POP_FRAC=0 FRESH_NORM=minmax 200ep pat15 eval3,log/runs/v3nobABL_Amazon-VG_SimGCL_Fonly_s20_test_k20.log
SimGCL,Fresh channel only,21,0.11451,0.05364,0.73173,NO_STALE=1 NEG_POP_FRAC=0 FRESH_NORM=minmax 200ep pat15 eval3,log/runs/v3nobABL_Amazon-VG_SimGCL_Fonly_s21_test_k20.log
SimGCL,Fresh channel only,22,0.10467,0.05097,0.72122,NO_STALE=1 NEG_POP_FRAC=0 FRESH_NORM=minmax 200ep pat15 eval3,log/runs/v3nobABL_Amazon-VG_SimGCL_Fonly_s22_test_k20.log
SimGCL,STFR (shared gain),20,0.10508,0.04971,0.73072,"NO_STALE=1 global w_g NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3wgN_VG_SimGCL_s20_test_k20.log
SimGCL,STFR (shared gain),21,0.1073,0.05259,0.73309,"NO_STALE=1 global w_g NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3wgN_VG_SimGCL_s21_test_k20.log
SimGCL,STFR (shared gain),22,0.10558,0.05089,0.73283,"NO_STALE=1 global w_g NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3wgN_VG_SimGCL_s22_test_k20.log
SimGCL,STFR,20,0.11249,0.05259,0.69176,"NO_STALE=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s20_test_k20.log
SimGCL,STFR,21,0.11237,0.05381,0.69168,"NO_STALE=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s21_test_k20.log
SimGCL,STFR,22,0.11526,0.05519,0.6899,"NO_STALE=1 NEG_POP=champion(f,a) FRESH_NORM=minmax 200ep pat15 eval3",log/runs/v3nob_final_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_s22_test_k20.log
