dataset,backbone,arm,N,k,seed,recall,precision,ndcg,arp,aplt,val_recall20,best_epoch,tag
Amazon-VG,MF,SFD-noB champion,all,20,20,0.11053,0.00967,0.05513,0.60183,0.18434,0.13484,57,v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s20
Amazon-VG,MF,SFD-noB champion,all,20,21,0.10684,0.00935,0.0507,0.61039,0.16354,0.12908,45,v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s21
Amazon-VG,MF,SFD-noB champion,all,20,22,0.11334,0.00941,0.05547,0.57252,0.26943,0.14304,132,v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s22
Amazon-VG,MF,base (N=전체),all,20,20,0.04886,0.00577,0.02475,0.69878,0.09342,0.06269,27,v3_Amazon-VG_MF_base_s20
Amazon-VG,MF,base (N=전체),all,20,21,0.05589,0.0064,0.02607,0.73226,0.06431,0.07089,15,v3_Amazon-VG_MF_base_s21
Amazon-VG,MF,base (N=전체),all,20,22,0.05435,0.0063,0.02601,0.67133,0.12292,0.06986,48,v3_Amazon-VG_MF_base_s22
Amazon-VG,LightGCN,recent,1,20,20,0.0482,0.00407,0.02507,0.54084,0.3673,0.06885,66,v3nobREC_Amazon-VG_LightGCN_recentN1_s20
Amazon-VG,LightGCN,recent,1,20,21,0.05132,0.00427,0.02515,0.54075,0.3683,0.07396,51,v3nobREC_Amazon-VG_LightGCN_recentN1_s21
Amazon-VG,LightGCN,recent,1,20,22,0.04789,0.00391,0.02334,0.53902,0.37072,0.07024,33,v3nobREC_Amazon-VG_LightGCN_recentN1_s22
Amazon-VG,LightGCN,recent,2,20,20,0.06954,0.00595,0.03451,0.59684,0.26466,0.0877,48,v3nobREC_Amazon-VG_LightGCN_recentN2_s20
Amazon-VG,LightGCN,recent,2,20,21,0.0651,0.00577,0.03378,0.59444,0.26787,0.08707,84,v3nobREC_Amazon-VG_LightGCN_recentN2_s21
Amazon-VG,LightGCN,recent,2,20,22,0.06345,0.00558,0.0319,0.59202,0.27738,0.08388,33,v3nobREC_Amazon-VG_LightGCN_recentN2_s22
Amazon-VG,LightGCN,recent,3,20,20,0.07223,0.00626,0.03635,0.62547,0.22229,0.08945,24,v3nobREC_Amazon-VG_LightGCN_recentN3_s20
Amazon-VG,LightGCN,recent,3,20,21,0.06867,0.00611,0.03544,0.62252,0.22186,0.08879,39,v3nobREC_Amazon-VG_LightGCN_recentN3_s21
Amazon-VG,LightGCN,recent,3,20,22,0.07193,0.00648,0.03428,0.62266,0.23027,0.08912,30,v3nobREC_Amazon-VG_LightGCN_recentN3_s22
Amazon-VG,LightGCN,recent,6,20,20,0.07844,0.00718,0.03677,0.68203,0.13129,0.08929,39,v3nobREC_Amazon-VG_LightGCN_recentN6_s20
Amazon-VG,LightGCN,recent,6,20,21,0.07836,0.00716,0.03729,0.68471,0.12926,0.09082,21,v3nobREC_Amazon-VG_LightGCN_recentN6_s21
Amazon-VG,LightGCN,recent,6,20,22,0.08323,0.0075,0.03854,0.68346,0.13117,0.08938,18,v3nobREC_Amazon-VG_LightGCN_recentN6_s22
Amazon-VG,LightGCN,recent,12,20,20,0.06854,0.00703,0.03136,0.73729,0.06558,0.08556,9,v3nobREC_Amazon-VG_LightGCN_recentN12_s20
Amazon-VG,LightGCN,recent,12,20,21,0.07089,0.00716,0.03363,0.73229,0.06446,0.0875,21,v3nobREC_Amazon-VG_LightGCN_recentN12_s21
Amazon-VG,LightGCN,recent,12,20,22,0.07403,0.00738,0.03438,0.72912,0.06734,0.0871,24,v3nobREC_Amazon-VG_LightGCN_recentN12_s22
Amazon-VG,LightGCN,recent,24,20,20,0.07107,0.00738,0.03265,0.75122,0.04607,0.08143,42,v3nobREC_Amazon-VG_LightGCN_recentN24_s20
Amazon-VG,LightGCN,recent,24,20,21,0.07071,0.0074,0.03238,0.75193,0.04495,0.08174,81,v3nobREC_Amazon-VG_LightGCN_recentN24_s21
Amazon-VG,LightGCN,recent,24,20,22,0.07319,0.0075,0.0329,0.75086,0.04524,0.08014,42,v3nobREC_Amazon-VG_LightGCN_recentN24_s22
Amazon-VG,LightGCN,recent+F,1,20,20,0.08511,0.00714,0.04059,0.67513,0.05661,0.10709,39,v3nobREC_Amazon-VG_LightGCN_recentFN1_s20
Amazon-VG,LightGCN,recent+F,1,20,21,0.08241,0.00691,0.03941,0.67645,0.05816,0.10656,39,v3nobREC_Amazon-VG_LightGCN_recentFN1_s21
Amazon-VG,LightGCN,recent+F,1,20,22,0.08736,0.00722,0.04118,0.67789,0.05395,0.10138,33,v3nobREC_Amazon-VG_LightGCN_recentFN1_s22
Amazon-VG,LightGCN,recent+F,2,20,20,0.09917,0.00849,0.04783,0.66718,0.06147,0.11697,27,v3nobREC_Amazon-VG_LightGCN_recentFN2_s20
Amazon-VG,LightGCN,recent+F,2,20,21,0.10016,0.00824,0.04693,0.60411,0.17536,0.12058,117,v3nobREC_Amazon-VG_LightGCN_recentFN2_s21
Amazon-VG,LightGCN,recent+F,2,20,22,0.10222,0.00867,0.04876,0.64142,0.08106,0.11242,39,v3nobREC_Amazon-VG_LightGCN_recentFN2_s22
Amazon-VG,LightGCN,recent+F,3,20,20,0.10426,0.00881,0.04977,0.67836,0.05399,0.1175,18,v3nobREC_Amazon-VG_LightGCN_recentFN3_s20
Amazon-VG,LightGCN,recent+F,3,20,21,0.10147,0.00861,0.04716,0.68316,0.05517,0.11601,15,v3nobREC_Amazon-VG_LightGCN_recentFN3_s21
Amazon-VG,LightGCN,recent+F,3,20,22,0.09992,0.00857,0.04825,0.68311,0.0538,0.10884,15,v3nobREC_Amazon-VG_LightGCN_recentFN3_s22
Amazon-VG,LightGCN,recent+F,6,20,20,0.11871,0.0102,0.06109,0.67458,0.05548,0.13392,111,v3nobREC_Amazon-VG_LightGCN_recentFN6_s20
Amazon-VG,LightGCN,recent+F,6,20,21,0.11639,0.01004,0.05857,0.67147,0.05247,0.13525,90,v3nobREC_Amazon-VG_LightGCN_recentFN6_s21
Amazon-VG,LightGCN,recent+F,6,20,22,0.11523,0.00996,0.05641,0.67494,0.04812,0.13131,69,v3nobREC_Amazon-VG_LightGCN_recentFN6_s22
Amazon-VG,LightGCN,recent+F,12,20,20,0.11165,0.01002,0.05585,0.70798,0.03337,0.1379,57,v3nobREC_Amazon-VG_LightGCN_recentFN12_s20
Amazon-VG,LightGCN,recent+F,12,20,21,0.11682,0.01045,0.05706,0.71145,0.03423,0.13964,51,v3nobREC_Amazon-VG_LightGCN_recentFN12_s21
Amazon-VG,LightGCN,recent+F,12,20,22,0.115,0.01025,0.0564,0.71241,0.03407,0.13617,48,v3nobREC_Amazon-VG_LightGCN_recentFN12_s22
Amazon-VG,LightGCN,recent+F,24,20,20,0.11009,0.01027,0.05285,0.73231,0.02785,0.1319,42,v3nobREC_Amazon-VG_LightGCN_recentFN24_s20
Amazon-VG,LightGCN,recent+F,24,20,21,0.11823,0.01072,0.05602,0.72458,0.02967,0.13501,57,v3nobREC_Amazon-VG_LightGCN_recentFN24_s21
Amazon-VG,LightGCN,recent+F,24,20,22,0.11624,0.0107,0.05609,0.73258,0.02904,0.13354,42,v3nobREC_Amazon-VG_LightGCN_recentFN24_s22
Amazon-VG,LightGCN,F-only (N=전체),all,20,20,0.10273,0.00986,0.04826,0.75391,0.01814,0.12752,45,v3nobABL_Amazon-VG_LightGCN_Fonly_s20
Amazon-VG,LightGCN,F-only (N=전체),all,20,21,0.10334,0.00971,0.04857,0.75176,0.01685,0.12574,51,v3nobABL_Amazon-VG_LightGCN_Fonly_s21
Amazon-VG,LightGCN,F-only (N=전체),all,20,22,0.10177,0.00969,0.04696,0.75333,0.01791,0.12563,45,v3nobABL_Amazon-VG_LightGCN_Fonly_s22
Amazon-VG,LightGCN,SFD-noB champion,all,20,20,0.12682,0.01147,0.06198,0.60746,0.18571,0.16613,36,v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s20
Amazon-VG,LightGCN,SFD-noB champion,all,20,21,0.11807,0.01088,0.06231,0.60671,0.188,0.15725,36,v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s21
Amazon-VG,LightGCN,SFD-noB champion,all,20,22,0.12003,0.01115,0.06171,0.64325,0.07771,0.15555,21,v3nob_final_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_s22
Amazon-VG,LightGCN,base (N=전체),all,20,20,0.06852,0.00738,0.03108,0.77187,0.02984,0.07889,42,v3_Amazon-VG_LightGCN_base_s20
Amazon-VG,LightGCN,base (N=전체),all,20,21,0.06776,0.0073,0.0311,0.77254,0.0272,0.08055,45,v3_Amazon-VG_LightGCN_base_s21
Amazon-VG,LightGCN,base (N=전체),all,20,22,0.06818,0.00732,0.03098,0.77224,0.02765,0.08135,27,v3_Amazon-VG_LightGCN_base_s22
Amazon-VG,SimGCL,recent,1,20,20,0.02393,0.00204,0.01326,0.41353,0.6984,0.04549,6,v3nobREC_Amazon-VG_SimGCL_recentN1_s20
Amazon-VG,SimGCL,recent,1,20,21,0.02346,0.00205,0.01215,0.41305,0.69971,0.04624,6,v3nobREC_Amazon-VG_SimGCL_recentN1_s21
Amazon-VG,SimGCL,recent,1,20,22,0.02542,0.00215,0.01378,0.4142,0.6972,0.04288,6,v3nobREC_Amazon-VG_SimGCL_recentN1_s22
Amazon-VG,SimGCL,recent,2,20,20,0.04457,0.00407,0.02376,0.47305,0.56628,0.06664,3,v3nobREC_Amazon-VG_SimGCL_recentN2_s20
Amazon-VG,SimGCL,recent,2,20,21,0.04883,0.00436,0.02452,0.47232,0.56681,0.06727,3,v3nobREC_Amazon-VG_SimGCL_recentN2_s21
Amazon-VG,SimGCL,recent,2,20,22,0.04747,0.00411,0.02504,0.47205,0.56595,0.06244,3,v3nobREC_Amazon-VG_SimGCL_recentN2_s22
Amazon-VG,SimGCL,recent,3,20,20,0.05538,0.00495,0.02898,0.50932,0.48738,0.07333,3,v3nobREC_Amazon-VG_SimGCL_recentN3_s20
Amazon-VG,SimGCL,recent,3,20,21,0.05769,0.00509,0.02826,0.50735,0.48769,0.07524,3,v3nobREC_Amazon-VG_SimGCL_recentN3_s21
Amazon-VG,SimGCL,recent,3,20,22,0.05392,0.00479,0.02813,0.50962,0.48391,0.07158,3,v3nobREC_Amazon-VG_SimGCL_recentN3_s22
Amazon-VG,SimGCL,recent,6,20,20,0.06466,0.00605,0.0312,0.59542,0.28898,0.08595,3,v3nobREC_Amazon-VG_SimGCL_recentN6_s20
Amazon-VG,SimGCL,recent,6,20,21,0.06061,0.00554,0.02959,0.57526,0.31718,0.08365,21,v3nobREC_Amazon-VG_SimGCL_recentN6_s21
